Original number: 155 current diff number: 0 , quantizated number: 155 , dequantizated number: 155 , decoded number: 155
Original number: 188 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 374
Original number: 188 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 374
Original number: 187 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 375
Original number: 186 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 376
Original number: 186 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 376
Original number: 186 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 376
Original number: 185 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 377
Original number: 185 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 377
Original number: 185 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 377
Original number: 184 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 378
Original number: 184 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 378
Original number: 184 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 378
Original number: 180 current diff number: 4 , quantizated number: 4 , dequantizated number: 4 , decoded number: 382
Original number: 181 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 383
Original number: 181 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 383
Original number: 181 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 383
Original number: 181 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 383
Original number: 180 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 384
Original number: 179 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 385
Original number: 178 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 386
Original number: 177 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 387
Original number: 177 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 387
Original number: 176 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 388
Original number: 176 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 388
Original number: 175 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 389
Original number: 174 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 390
Original number: 173 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 391
Original number: 173 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 391
Original number: 171 current diff number: 2 , quantizated number: 2 , dequantizated number: 2 , decoded number: 393
Original number: 170 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 394
Original number: 169 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 395
Original number: 168 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 396
Original number: 167 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 397
Original number: 168 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 398
Original number: 168 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 398
Original number: 168 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 398
Original number: 166 current diff number: 2 , quantizated number: 2 , dequantizated number: 2 , decoded number: 400
Original number: 167 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 401
Original number: 167 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 401
Original number: 167 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 401
Original number: 167 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 401
Original number: 166 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 402
Original number: 165 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 403
Original number: 164 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 404
Original number: 162 current diff number: 2 , quantizated number: 2 , dequantizated number: 2 , decoded number: 406
Original number: 162 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 406
Original number: 161 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 407
Original number: 161 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 407
Original number: 160 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 408
Original number: 159 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 409
Original number: 158 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 410
Original number: 158 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 410
Original number: 158 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 410
Original number: 157 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 411
Original number: 157 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 411
Original number: 156 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 412
Original number: 155 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 413
Original number: 154 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 414
Original number: 154 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 414
Original number: 154 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 414
Original number: 150 current diff number: 4 , quantizated number: 4 , dequantizated number: 4 , decoded number: 418
Original number: 150 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 418
Original number: 150 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 418
Original number: 150 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 418
Original number: 150 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 418
Original number: 155 current diff number: 5 , quantizated number: 5 , dequantizated number: 5 , decoded number: 423
Original number: 155 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 423
Original number: 156 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 424
Original number: 157 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 425
Original number: 158 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 426
Original number: 158 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 426
Original number: 159 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 427
Original number: 159 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 427
Original number: 160 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 428
Original number: 160 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 428
Original number: 160 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 428
Original number: 160 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 428
Original number: 161 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 429
